Year,m,d,Precipitation amount (mm),Air temperature (degC)
2019,4,1,-1,3.5
2019,4,2,-1,3.4
2019,4,3,-1,6
2019,4,4,-1,6.6
2019,4,5,-1,5.8
2019,4,6,-1,6.6
2019,4,7,-1,6.4
2019,4,8,3.4,2.3
2019,4,9,2.1,2.2
2019,4,10,-1,-0.4
2019,4,11,-1,-0.3
2019,4,12,-1,1.5
2019,4,13,-1,4.5
2019,4,14,-1,4.9
2019,4,15,-1,4.7
2019,4,16,-1,7.1
2019,4,17,-1,7
2019,4,18,-1,9.2
2019,4,19,-1,12
2019,4,20,-1,9.4
2019,4,21,-1,6.4
2019,4,22,-1,9.8
2019,4,23,-1,12.3
2019,4,24,-1,11.9
2019,4,25,0.1,13.7
2019,4,26,0.6,12.2
2019,4,27,-1,14.3
2019,4,28,-1,6.1
2019,4,29,-1,5.6
2019,4,30,-1,6.7
2019,5,1,4.2,8.3
2019,5,2,13.2,4.4
2019,5,3,-1,2
2019,5,4,6.1,2.1
2019,5,5,-1,4.8
2019,5,6,-1,6.7
2019,5,7,-1,7
2019,5,8,-1,7.3
2019,5,9,-1,9.4
2019,5,10,3.6,8.4
2019,5,11,8.3,9.5
2019,5,12,-1,8.8
2019,5,13,-1,8.6
2019,5,14,-1,9
2019,5,15,-1,10.1
2019,5,16,-1,11.8
2019,5,17,-1,13.8
2019,5,18,-1,15.6
2019,5,19,-1,17.1
2019,5,20,0.8,17.3
2019,5,21,-1,18.3
2019,5,22,0.2,17.8
2019,5,23,0.5,12.6
2019,5,24,1.8,9.3
2019,5,25,0.9,10.9
2019,5,26,14.8,9.5
2019,5,27,0.4,10.5
2019,5,28,3.9,11.7
2019,5,29,-1,12.4
2019,5,30,3.2,12.5
2019,5,31,-1,12.1
2019,6,1,2.3,12.3
2019,6,2,-1,13.4
2019,6,3,5.6,13
2019,6,4,-1,17.2
2019,6,5,-1,18.7
2019,6,6,-1,21.6
2019,6,7,-1,21.9
2019,6,8,2.5,22.1
2019,6,9,-1,18.3
2019,6,10,-1,16.4
2019,6,11,-1,17
2019,6,12,-1,15
2019,6,13,1.1,14
2019,6,14,-1,14.4
2019,6,15,-1,16.9
2019,6,16,-1,18.4
2019,6,17,-1,18.5
2019,6,18,-1,18.2
2019,6,19,-1,18.8
2019,6,20,-1,20
2019,6,21,-1,20
2019,6,22,0.7,17.3
2019,6,23,-1,17.3
2019,6,24,-1,19.5
2019,6,25,0.7,17
2019,6,26,2,15.1
2019,6,27,0.7,15.8
2019,6,28,-1,16.9
2019,6,29,-1,15.7
2019,6,30,-1,17.6
2019,7,1,0.1,17.9
2019,7,2,22.5,15.5
2019,7,3,-1,15.2
2019,7,4,13.7,13.9
2019,7,5,11.7,12.9
2019,7,6,7.4,13.3
2019,7,7,2.1,14.6
2019,7,8,10.3,15.2
2019,7,9,-1,13
2019,7,10,-1,16.8
2019,7,11,0.2,13
2019,7,12,-1,14.4
2019,7,13,-1,16.5
2019,7,14,-1,15.4
2019,7,15,0.5,16.5
2019,7,16,3.5,15.9
2019,7,17,-1,17.8
2019,7,18,-1,19.7
2019,7,19,-1,19.8
2019,7,20,-1,19.7
2019,7,21,-1,20.5
2019,7,22,0.2,20
2019,7,23,-1,21.8
2019,7,24,-1,23.3
2019,7,25,-1,20.9
2019,7,26,-1,22.2
2019,7,27,-1,24.9
2019,7,28,-1,25.3
2019,7,29,-1,17.6
2019,7,30,-1,14.5
2019,7,31,-1,16
2019,8,1,-1,15.1
2019,8,2,-1,16.1
2019,8,3,-1,13.8
2019,8,4,-1,13.4
2019,8,5,-1,16.6
2019,8,6,0.9,16.9
2019,8,7,3,17.1
2019,8,8,-1,17.4
2019,8,9,-1,17.4
2019,8,10,-1,18.2
2019,8,11,4.7,18
2019,8,12,0.1,18.5
2019,8,13,0.5,18
2019,8,14,0.1,17.4
2019,8,15,1.2,17.3
2019,8,16,-1,16.8
2019,8,17,-1,18.6
2019,8,18,3.7,18.8
2019,8,19,2,17.7
2019,8,20,-1,17.8
2019,8,21,-1,17.3
2019,8,22,50.2,17.2
2019,8,23,12.3,16.1
2019,8,24,-1,17.3
2019,8,25,-1,16.5
2019,8,26,-1,19
2019,8,27,-1,17.9
2019,8,28,-1,18.8
2019,8,29,3.5,19.8
2019,8,30,-1,18.8
2019,8,31,-1,17.8
2019,9,1,-1,18.3
2019,9,2,8.2,17.9
2019,9,3,-1,15.4
2019,9,4,-1,16.4
2019,9,5,4.9,16.5
2019,9,6,0.9,15.1
2019,9,7,3.6,14.1
2019,9,8,0.9,15.7
2019,9,9,3.5,16.8
2019,9,10,-1,18.9
2019,9,11,4.3,16.6
2019,9,12,0.4,15.8
2019,9,13,8.5,13.1
2019,9,14,8.9,11
2019,9,15,13.3,11
2019,9,16,1.6,10.6
2019,9,17,0.1,8.9
2019,9,18,0.1,8.7
2019,9,19,-1,6.6
2019,9,20,1.9,7.1
2019,9,21,0.7,8.9
2019,9,22,-1,6.7
2019,9,23,-1,5.7
2019,9,24,3.3,7.2
2019,9,25,0.8,7.4
2019,9,26,-1,8.4
2019,9,27,-1,9
2019,9,28,1.7,11.8
2019,9,29,0.9,12.5
2019,9,30,8,12.7
2019,10,1,2.1,8.2
2019,10,2,0.5,6.9
2019,10,3,2.5,4.5
2019,10,4,0.9,2.4
2019,10,5,-1,2.5
2019,10,6,-1,4
2019,10,7,0.1,4.5
2019,10,8,-1,5
2019,10,9,1.1,4.8
2019,10,10,2.4,7.1
2019,10,11,33.8,10.4
2019,10,12,0.1,9.8
2019,10,13,1.4,8.9
2019,10,14,9.3,5
2019,10,15,0.1,4.4
2019,10,16,-1,6.8
2019,10,17,3.6,5.1
2019,10,18,3,8
2019,10,19,2.9,11.5
2019,10,20,13.3,9.9
2019,10,21,0.2,6.7
2019,10,22,0.1,9.6
2019,10,23,-1,10.1
2019,10,24,-1,11.1
2019,10,25,0.6,10.7
2019,10,26,13.2,7.5
2019,10,27,9.7,3.2
2019,10,28,0.8,0.9
2019,10,29,-1,-1
2019,10,30,0.1,-0.4
2019,10,31,-1,4.7
